Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,SW_Push,SW_SPST_TL3342,201.340001,-140.39375,180,bottom
C1,1u,C_0402_1005Metric,158.65875,-122.99375,90,bottom
C2,1u,C_0402_1005Metric,153.049264,-123.007107,90,bottom
C3,1u,C_0402_1005Metric,182.2,-132,0,bottom
C4,1u,C_0402_1005Metric,164.5,-134.5,90,bottom
C5,100n,C_0402_1005Metric,164.6,-151.2,-135,bottom
C6,22p,C_0402_1005Metric,171,-155.075,45,bottom
C7,22p,C_0402_1005Metric,167,-155.575,135,bottom
C8,10u,C_0603_1608Metric,163,-129.6,180,bottom
C9,1u,C_0402_1005Metric,161.75125,-137.7375,180,bottom
C10,100n,C_0402_1005Metric,172.86375,-138.53125,0,bottom
C11,100n,C_0402_1005Metric,160.95,-141.96875,180,bottom
C12,100n,C_0402_1005Metric,175.225,-141.26875,0,bottom
C13,100n,C_0402_1005Metric,167.9875,-134,90,bottom
C14,100n,C_0402_1005Metric,163.51875,-134.5,90,bottom
C15,100n,C_0402_1005Metric,167.2,-132,90,bottom
C16,100n,C_0402_1005Metric,165.260589,-151.939411,-135,bottom
D1,D_Small,D_SOD-123,77.7875,-76.1375,90,bottom
D2,D_Small,D_SOD-123,96.8375,-76.1375,90,bottom
D3,D_Small,D_SOD-123,115.8875,-76.1375,90,bottom
D4,D_Small,D_SOD-123,134.9375,-76.1375,90,bottom
D5,D_Small,D_SOD-123,153.9875,-76.1375,90,bottom
D6,D_Small,D_SOD-123,173.0375,-76.1375,90,bottom
D7,D_Small,D_SOD-123,192.0875,-76.1375,90,bottom
D8,D_Small,D_SOD-123,211.1375,-76.1375,90,bottom
D9,D_Small,D_SOD-123,230.1875,-76.1375,90,bottom
D10,D_Small,D_SOD-123,249.2375,-76.1375,90,bottom
D11,D_Small,D_SOD-123,268.2875,-76.1375,90,bottom
D12,D_Small,D_SOD-123,287.3375,-76.1375,90,bottom
D13,D_Small,D_SOD-123,306.3875,-76.1375,90,bottom
D14,D_Small,D_SOD-123,334.9625,-76.1375,90,bottom
D15,D_Small,D_SOD-123,373.0625,-76.1375,90,bottom
D16,D_Small,D_SOD-123,82.55,-95.1875,90,bottom
D17,D_Small,D_SOD-123,106.3625,-95.1875,90,bottom
D18,D_Small,D_SOD-123,125.4125,-95.1875,90,bottom
D19,D_Small,D_SOD-123,144.4625,-95.1875,90,bottom
